sample_id,final_node_id,original_node_id,original_level
DF1185_00094_01,L3_Nd551ce89,L3_Nd551ce89,L3
DF1185_00101_01,L3_N29e43ee4,L3_N29e43ee4,L3
DF1185_00106_01,L2_N640a2992,L3_N640a2992,L3
DF1759_00056_01,L3_N4c90cbd7,L3_Nf3b017a0,L3
DF1759_00061_01,L3_N303eccc1,L3_N198ad664,L3
DF1759_00074_01,L3_Nc97533ee,L3_Nc97533ee,L3
DF1759_00085_01,L3_Nb328f7fc,L3_Nb328f7fc,L3
DF1759_00091_01,L3_Nb328f7fc,L3_Nb328f7fc,L3
DF1759_00118_01,L3_Nb0e7dd4f,L3_Nb0e7dd4f,L3
DF1759_00122_01,L3_N0f65b0c3,L3_N0f65b0c3,L3
DF1759_00125_01,L3_N65606e29,L3_N65606e29,L3
DF1759_00130_01,L2_Nc3c2ff15,L3_Nd290d812,L3
DF1898_00038_01,L3_Nca0d54be,L3_Nca0d54be,L3
DF1898_00042_01,L4_N6bcc2030,L3_Nf8bb4ea7,L3
DF2583_00032_01,L4_N162d5723,L3_Ncc6e46eb,L3
DF2583_00032_02,L4_Nd788e769,L3_Naeed249a,L3
DF2583_00032_03,L3_N4da94e7a,L3_N4da94e7a,L3
DF0298_00039_01,L3_Nef0fcc52,L3_Nef0fcc52,L3
DF0542_00029_01,L3_Nb3d3c087,L3_Nb3d3c087,L3
DF0542_00031_01,L2_N578f3b8a,L3_N578f3b8a,L3
DF0542_00033_01,L3_N9c47a867,L3_N9c47a867,L3
DF0542_00035_01,L3_N5383b7aa,L3_N5383b7aa,L3
DF0865_00025_01,L1_N762e6689_BR_c43b41,L3_N55fb6992,L3
DF0865_00027_01,L3_N3810ecfd,L3_N3810ecfd,L3
DF0865_00070_01,L3_Na04441bf,L3_Na04441bf,L3
DF0865_00070_02,L3_Nf8276134,L3_Nf8276134,L3
DF0865_00072_01,L3_Na6c4ae61,L3_Na6c4ae61,L3
DF0865_00072_02,L3_N4888066d,L3_N4888066d,L3
DF0865_00072_03,L3_Nb28e82d6,L3_Nb28e82d6,L3
DF1898_00024_01,L3_Ne78d3c45,L3_Ne78d3c45,L3
DF1898_00026_01,L3_N4888066d,L3_N55664f5d,L3
DF1898_00046_01,L3_N0362ceea,L3_N0362ceea,L3
DF1898_00048_01,L3_Ne7b47d1e,L3_Ne7b47d1e,L3
DF1898_00050_01,L3_N888d7345,L3_N888d7345,L3
DF1759_00171_01,L4_N3494c85c,L3_N3494c85c,L3
DF1759_00172_03,L4_N32b417e2,L3_N32b417e2,L3
DF1759_00143_01,L2_Nfdcfd3c4,L3_Ne55e384d,L3
DF1185_00127_01,L4_Nfb48b97b,L3_Nfb48b97b,L3
DF2583_00030_01,L3_N85bf292e,L3_N85bf292e,L3
DF1185_00097_01,L3_N90c2cae1,L3_N90c2cae1,L3
DF1185_00109_01,L2_N0e93e380,L3_N0e93e380,L3
DF2583_00035_01,L3_N94978a33,L3_N94978a33,L3
DF0298_00024_01,L2_Nc81ee0b8,L2_Nc81ee0b8,L2
DF0865_00048_01,L2_N6d9c5da7,L2_N6d9c5da7,L2
DF0865_00055_01,L2_Na5b73aaf,L2_Na5b73aaf,L2
DF1322_00023_01,L2_N4f9516d8,L2_N4f9516d8,L2
DF1759_00164_01,L2_Nd825449f,L2_Nd825449f,L2
DF0009_00028_01,L2_N649ec6c7,L2_N649ec6c7,L2
DF0009_00036_01,L2_N9f46f3fd,L2_N9f46f3fd,L2
DF0298_00029_01,L2_Nbd50000d,L2_Nbd50000d,L2
DF0542_00009_01,L2_N306e9a75,L2_N306e9a75,L2
DF1898_00029_01,L2_N306e9a75,L2_N306e9a75,L2
DF1176_00023_01,L2_Nff3b5230,L2_Nff3b5230,L2
DF1898_00053_01,L2_N24b2144b,L2_N24b2144b,L2
DF0009_00032_01,L2_Ne1879105,L2_Ne1879105,L2
DF0009_00032_02,L3_N5b8fd671,L2_Na75f0b05,L2
DF0865_00062_01,L3_Nbf5cb6ef,L2_Nc8ab6162,L2
DF1759_00138_01,L2_Nfdcfd3c4,L2_Nfdcfd3c4,L2
DF0403_00038_01,L1_N6be998d8_BR_8df89b,L2_N9e86e873,L2
DF0403_00038_02,L2_N33b2d022,L2_N33b2d022,L2
DF1176_00028_01,L3_N7e9ff5f6,L2_Nbde783bd,L2
DF1185_00113_01,L2_N0109e16a,L2_N0109e16a,L2
DF1322_00017_01,L1_N6be998d8,L2_N227589e0,L2
DF0009_00014_01,L1_N6e836104_BR_7637d7,L2_Nd8a500a1,L2
DF0009_00017_01,L1_N6e836104,L2_N0a6e8ca5,L2
DF0009_00039_01,L2_Nb22f5139,L2_Nb22f5139,L2
DF0403_00019_03,L2_N4db8aea7,L2_N4db8aea7,L2
DF0403_00032_01,L2_Nfeea0571,L2_Nfeea0571,L2
DF0403_00032_02,L2_Nb80d9c6e,L2_Nb80d9c6e,L2
DF0459_00010_01,L2_N8228268e,L2_N8228268e,L2
DF0865_00029_01,L2_N5e2fe781,L2_N5e2fe781,L2
DF1176_00043_01,L2_N3d4844b8,L2_N3d4844b8,L2
