node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L2_N227589e0,L2_N6db20b9a,0.19455935060977936,0.19455935060977936,0.1945593465689942,2,keep,
L2_N227589e0,L2_N9e86e873,0.51251620054245,0.5151262879371643,0.5177363759155097,2,keep,
L2_N227589e0,L2_Na5b73aaf,0.158915713429451,0.158915713429451,0.1589157107021304,1,keep,
L2_N227589e0,L2_Nbde783bd,0.23886102437973022,0.2602911591529846,0.281721299374765,2,keep,
L2_N242a428d,L2_N24b2144b,0.18681581318378448,0.1894386261701584,0.192061435154924,2,keep,
L2_N242a428d,L2_N466127b4,0.14799737930297852,0.14799737930297852,0.14799737879292,1,keep,
L2_N242a428d,L2_N6da1b013,0.16342996060848236,0.16422435641288757,0.1650187711505691,2,keep,
L2_N242a428d,L2_N8ed52793,0.20336273312568665,0.20613865554332733,0.2089145908843939,2,keep,
L2_N242a428d,L2_Na5b73aaf,0.1390509158372879,0.1390509158372879,0.1390509188735673,1,keep,
L2_N242a428d,L2_Nc3c2ff15,0.14828874170780182,0.14828874170780182,0.148288737951469,1,keep,
L2_N242a428d,L2_Nd5d2d592,0.18610899150371552,0.18610899150371552,0.1861089981117915,1,keep,
L2_N24b2144b,L2_N3782a8fc,0.14819835126399994,0.148328959941864,0.1484595876995189,2,keep,
L2_N24b2144b,L2_N466127b4,0.1496010571718216,0.15205135941505432,0.1545016530358073,2,keep,
L2_N24b2144b,L2_N6d9c5da7,0.134306862950325,0.134306862950325,0.1343068695372419,1,keep,
L2_N24b2144b,L2_N6da1b013,0.16076356172561646,0.16234195232391357,0.1639203332415248,2,keep,
L2_N24b2144b,L2_N709fdde1,0.15668433904647827,0.16019511222839355,0.1665982405383091,5,keep,
L2_N24b2144b,L2_N8ed52793,0.40409785509109497,0.4127776324748993,0.4214574006557065,2,keep,
L2_N27ba78e2,L2_N709fdde1,0.9051482677459717,0.9051482677459717,0.9051482536448664,1,keep,
L2_N27ba78e2,L2_Ne455f9ae,0.18849290907382965,0.18849290907382965,0.1884929057888906,1,keep,
L2_N2f32c229,L2_N3d4844b8,0.6735093593597412,0.6954732537269592,0.7174371679985984,2,keep,
L2_N2f32c229,L2_N4db8aea7,0.15029104053974152,0.15029104053974152,0.1502910401391567,1,keep,
L2_N2f32c229,L2_N4f9516d8,0.17635522782802582,0.17635522782802582,0.1763552346676189,1,keep,
L2_N2f32c229,L2_N5e2fe781,0.16013416647911072,0.16013416647911072,0.1601341669513356,1,keep,
L2_N2f32c229,L2_N649ec6c7,0.15758144855499268,0.15758144855499268,0.1575814433354417,1,keep,
L2_N2f32c229,L2_N6db20b9a,0.16738636791706085,0.16738636791706085,0.1673863684106524,2,keep,
L2_N2f32c229,L2_N7d5270bf,0.1985367238521576,0.1985367238521576,0.1985367228379509,1,keep,
L2_N2f32c229,L2_N8228268e,0.17575553059577942,0.17749087512493134,0.1792262259264209,2,keep,
L2_N2f32c229,L2_N9a2b3002,0.19269844889640808,0.19604836404323578,0.1993982794373558,2,keep,
L2_N2f32c229,L2_N9ef25cc0,0.21913734078407288,0.23139669001102448,0.2436560209474988,2,keep,
L2_N2f32c229,L2_N9f46f3fd,0.1818728744983673,0.1818728744983673,0.1818728778272177,1,keep,
L2_N2f32c229,L2_Na5b73aaf,0.1540059596300125,0.1540059596300125,0.154005964481465,1,keep,
L2_N2f32c229,L2_Na75f0b05,0.14550064504146576,0.14550064504146576,0.1455006448006934,1,keep,
L2_N2f32c229,L2_Nadf8c478,0.23444470763206482,0.24540169537067413,0.2563586822444273,2,keep,
L2_N2f32c229,L2_Nb80d9c6e,0.3003631830215454,0.3038614094257355,0.3073596261552551,2,keep,
L2_N2f32c229,L2_Nbd50000d,0.1636177897453308,0.1636177897453308,0.1636177921487059,1,keep,
L2_N2f32c229,L2_Nc3c2ff15,0.16881294548511505,0.16881294548511505,0.1688129510064068,1,keep,
L2_N2f32c229,L2_Nd39445b0,0.22482243180274963,0.23032741248607635,0.2358323987453924,2,keep,
L2_N2f32c229,L2_Nd77a7607,0.19222038984298706,0.19222038984298706,0.1922203931911622,1,keep,
L2_N2f32c229,L2_Nd8a500a1,0.1361512392759323,0.1361512392759323,0.1361512382798836,1,keep,
L2_N2f32c229,L2_Ne1879105,0.1535206139087677,0.1535206139087677,0.1535206102933976,1,keep,
L2_N2f32c229,L2_Ne4cef915,0.17149974405765533,0.1717957705259323,0.1720917920243632,2,keep,
L2_N2f32c229,L2_Nf64b0b03,0.19264724850654602,0.1928209364414215,0.192994626851966,2,keep,
L2_N2f32c229,L2_Nfeea0571,0.18027764558792114,0.18027764558792114,0.1802776438032476,1,keep,
L2_N2f32c229,L2_Nff3b5230,0.2320779263973236,0.2489955872297287,0.2659132533418366,2,keep,
L2_N306e9a75,L2_N3c9cbbd0,0.18996085226535797,0.19007055461406708,0.1900705593341647,4,keep,
L2_N306e9a75,L2_N5e2fe781,0.171584814786911,0.17239154875278473,0.1723915456901626,4,keep,
L2_N306e9a75,L2_N649ec6c7,0.16135413944721222,0.1655426174402237,0.1655426195820847,4,keep,
L2_N306e9a75,L2_N6da1b013,0.160443976521492,0.160443976521492,0.160443974603226,2,keep,
L2_N306e9a75,L2_N6db20b9a,0.16165313124656677,0.16165313124656677,0.1616531243707918,4,keep,
