node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L3_N133b0ed2,L3_Nb328f7fc,0.18712881207466125,0.19694052636623383,0.19822298797073,4,keep,
L3_N133b0ed2,L3_Nba68b284,0.19361722469329834,0.195949524641037,0.1982818310040968,2,keep,
L3_N133b0ed2,L3_Nc5166684,0.18887270987033844,0.18887270987033844,0.188872716358815,1,keep,
L3_N133b0ed2,L3_Nc56580b0,0.18638989329338074,0.18638989329338074,0.186389896547461,1,keep,
L3_N133b0ed2,L3_Nc92a3618,0.19774122536182404,0.20414480566978455,0.2105484012001369,2,keep,
L3_N133b0ed2,L3_Nd290d812,0.1780824363231659,0.1832476705312729,0.1884129161303932,2,keep,
L3_N133b0ed2,L3_Nd3c80123,0.1831786036491394,0.1867043375968933,0.1902300883966436,2,keep,
L3_N133b0ed2,L3_Nd571b089,0.18156000971794128,0.18741613626480103,0.1932722747428654,2,keep,
L3_N133b0ed2,L3_Ne55e384d,0.214045450091362,0.214045450091362,0.2140454549214072,1,keep,
L3_N133b0ed2,L3_Ned79e54c,0.483730673789978,0.5086832642555237,0.533635809375786,2,keep,
L3_N133b0ed2,L3_Nf8bb4ea7,0.20247867703437805,0.2062802016735077,0.2100817178240465,2,keep,
L3_N14530829,L3_N1da589d2,0.18471631407737732,0.18550294637680054,0.1862895886361735,2,keep,
L3_N14530829,L3_N4b540045,0.191135972738266,0.19284765422344208,0.1945593465689942,2,keep,
L3_N14530829,L3_N5c977f92,0.2829545736312866,0.2926103472709656,0.3022661253131539,2,keep,
L3_N14530829,L3_N60c3ab56,0.6958636045455933,0.6995146870613098,0.7031658032197466,2,keep,
L3_N14530829,L3_N701e7011,0.21770170331001282,0.22981730103492737,0.2419329059467144,2,keep,
L3_N14530829,L3_N8b934feb,0.4493509531021118,0.4493509531021118,0.4493509485485777,1,keep,
L3_N14530829,L3_N9ae5e272,0.28351154923439026,0.3151622712612152,0.3468129699256265,2,keep,
L3_N14530829,L3_Nba68b284,0.20774686336517334,0.20774686336517334,0.2077468685054739,1,keep,
L3_N14530829,L3_Nbccd8d12,0.46671274304389954,0.46671274304389954,0.4667127532762951,1,keep,
L3_N14530829,L3_Nbf6e7bf3,0.32693400979042053,0.34751999378204346,0.3681060066999749,2,keep,
L3_N14530829,L3_Nd3c80123,0.2036551982164383,0.2036551982164383,0.2036551948562172,1,keep,
L3_N14530829,L3_Ne455f9ae,0.18641997873783112,0.18641997873783112,0.1864199860987188,1,keep,
L3_N14530829,L3_Nea04744e,0.19370827078819275,0.19370827078819275,0.1937082720057422,1,keep,
L3_N14530829,L3_Nea54495c,0.18600864708423615,0.18600864708423615,0.1860086500119717,1,keep,
L3_N14530829,L3_Nfb48b97b,0.24001383781433105,0.26367226243019104,0.2873306830072179,2,keep,
L3_N18ada171,L3_N252b74e4,0.18861287832260132,0.18861287832260132,0.1886128710858232,1,keep,
L3_N18ada171,L3_N29e43ee4,0.24112826585769653,0.24112826585769653,0.241128262347205,1,keep,
L3_N18ada171,L3_N3494c85c,0.6197563409805298,0.6197563409805298,0.6197563394618308,1,keep,
L3_N18ada171,L3_N578f3b8a,0.19295495748519897,0.19295495748519897,0.1929549505916919,1,keep,
L3_N18ada171,L3_N595f8c05,0.2533542811870575,0.25917989015579224,0.2650055080022628,2,keep,
L3_N18ada171,L3_N640a2992,0.38662272691726685,0.38916635513305664,0.3917099893451375,2,keep,
L3_N18ada171,L3_N90c2cae1,0.27273115515708923,0.28137367963790894,0.2900162303192957,2,keep,
L3_N18ada171,L3_Nc3e4e468,0.1612415462732315,0.1612415462732315,0.1612415413089701,1,keep,
L3_N18ada171,L3_Nd551ce89,0.24348510801792145,0.26574379205703735,0.2880024954209871,2,keep,
